"id","printed","normalized","host","nearbyProject","contextClassifications","occurrenceCount","printedPages","pdfPages","chapters","representativeText","extractionStatus","directoryDecision","currentResolutionStatus","currentUrl","editorialNotes"
"URL-0416","http://www.cni.org/tfms/2004a.spring/abstracts/PB-ucsb-pritchard.html","http://www.cni.org/tfms/2004a.spring/abstracts/PB-ucsb-pritchard.html","www.cni.org","www.cni.org","web resource","1","330","345","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","sparc/. 11. See “UCSB Campus Informatics: Collaboration for Knowledge Manage- ment,” http://www.cni.org/tfms/2004a.spring/abstracts/PB-ucsb-pritchard.html. 12. See http://www.lib.umn.edu/about/mellon/. References","Book-extracted","","","",""
"URL-0417","http://www.lib.umn.edu/about/mellon/","http://www.lib.umn.edu/about/mellon/","www.lib.umn.edu","www.lib.umn.edu","project / organization homepage","1","330","345","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","11. See “UCSB Campus Informatics: Collaboration for Knowledge Manage- ment,” http://www.cni.org/tfms/2004a.spring/abstracts/PB-ucsb-pritchard.html. 12. See http://www.lib.umn.edu/about/mellon/. References Atkinson, Ross. 1996. “Library Functions, Scholarly Communication, and the","Book-extracted","","","",""
"URL-0418","http://name.umdl.umich.edu/bbv9812","http://name.umdl.umich.edu/bbv9812","name.umdl.umich.edu","name.umdl.umich.edu","project / organization homepage","1","331","346","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","eds., Digital Libraries: A Vision for the 21st Century, 154–175. Ann Arbor: Uni- versity of Michigan Library Scholarly Publishing Office. http://name.umdl .umich.edu/bbv9812. Bennett, Douglas C. 1997. New Connections for Scholars: The Changing Mis- sions of a Learned Society in an Era of Digital Networks. American Council of","Book-extracted","","","",""
"URL-0419","http://www.acls.org/op36.htm","http://www.acls.org/op36.htm","www.acls.org","www.acls.org","initiative / declaration / policy","1","331","346","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","Bennett, Douglas C. 1997. New Connections for Scholars: The Changing Mis- sions of a Learned Society in an Era of Digital Networks. American Council of Learned Societies Occasional Paper No. 36. http://www.acls.org/op36.htm. Berghel, Hal. 2001. “Digital Village: A Cyberpublishing Manifesto.” Commu- nications of the ACM 44/3 (March):17–20.","Book-extracted","","","",""
"URL-0420","http://www.press.umich.edu/jep/works/kahin.dl.html","http://www.press.umich.edu/jep/works/kahin.dl.html","www.press.umich.edu","www.press.umich.edu","repository / archive / digital library","1","331","346","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","Writing. New York: Longman. Kahin, Brian. 1995. “Institutional and Policy Issues in the Development of the Digital Library.” Journal of Electronic Publishing (January). http://www.press .umich.edu/jep/works/kahin.dl.html. Kling, Rob, and Geoffrey McKim. 2000. “Not Just a Matter of Time: Field Dif- ferences and the Shaping of Electronic Media in Supporting Scientific Commu-","Book-extracted","","","",""
"URL-0421","http://www.clir.org/pubs/abstract/pub92abst.html","http://www.clir.org/pubs/abstract/pub92abst.html","www.clir.org","Council on Library and Information Resources","article / report / publication","1","331","346","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","Lynch, Clifford. 2000. Authenticity and Integrity in the Digital Environment: An Exploratory Analysis of the Central Role of Trust. Council on Library and Information Resources Report 92. http://www.clir.org/pubs/abstract/pub92abst .html. Lynch, Clifford. 2001. “When Documents Deceive: Trust and Provenance as New Factors for Retrieval in a Tangled Web.” Journal of the American Society","Book-extracted","","","",""
"URL-0422","http://www.asu.edu/ecure/2005/keynote","http://www.asu.edu/ecure/2005/keynote","www.asu.edu","www.asu.edu","article / report / publication","1","331","346","11 - Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","for Information Science and Technology 52(1):12–17. Lynch, Clifford. 2005. “ECURE 2005 Keynote Address, Arizona State Univer- sity, March 2005.” http://www.asu.edu/ecure/2005/keynote. Scholarly Communication and Libraries Unbound 331","Book-extracted","","","",""
"URL-0423","http://www.sis.pitt.edu/~dlwkshop/paper_miller.html","http://www.sis.pitt.edu/~dlwkshop/paper_miller.html","www.sis.pitt.edu","www.sis.pitt.edu","repository / archive / digital library","1","332","347","Front matter or interstitial","Miller, Eric. 2003. “Enabling the Semantic Web for Scientific Research and Collaboration.” NSF Post Digital Library Futures Workshop, Chatham, Massachusetts, June. http://www.sis.pitt.edu/~dlwkshop/paper_miller.html. National Research Council Committee on a National Collaboratory. 1993. National Collaboratories: Applying Information Technology for Scientific","Book-extracted","","","",""
"URL-0424","http://www.oclc.org/membership/escan/default.htm","http://www.oclc.org/membership/escan/default.htm","www.oclc.org","www.oclc.org","repository / archive / digital library","1","332","347","Front matter or interstitial","Research. Washington, DC: National Academy Press. OCLC. 2003. The 2003 OCLC Environmental Scan: Pattern Recognition. Dublin, OH: OCLC Online Computer Library Center. http://www.oclc.org/ membership/escan/default.htm. Seaman, David. 2003. “Deep Sharing: A Case for the Federated Digital Library.” Educause","Book-extracted","","","",""
"URL-0425","http://www.educause.edu/ir/library/pdf/erm0348.pdf","http://www.educause.edu/ir/library/pdf/erm0348.pdf","www.educause.edu","EDUCAUSE","article / report / publication","1","332","347","Front matter or interstitial","Review (July/August). http://www.educause.edu/ir/library/pdf/ erm0348.pdf. Stone, Sue. 1982. “Humanities Scholars: Information Needs and Uses.” Journal of Documentation 38(4):292–313.","Book-extracted","","","",""
"URL-0426","http://www.acls.org/op43.htm","http://www.acls.org/op43.htm","www.acls.org","www.acls.org","article / report / publication","1","332","347","Front matter or interstitial","Tomlins, Christopher L. 1998. Wave of the Present: The Scholarly Journal on the Edge of the Internet. American Council of Learned Societies Occasional Paper No. 43. http://www.acls.org/op43.htm. Traweek, Sharon. 1988. Beamtimes and Lifetimes: The World of High Energy Physicists. Cambridge, MA: Harvard University Press.","Book-extracted","","","",""
"URL-0427","http://www.arl.org/scomm/disciplines_program.html","http://www.arl.org/scomm/disciplines_program.html","www.arl.org","Association of Research Libraries / SPARC","project / organization homepage","1","332","347","Front matter or interstitial","Alone'”? Scholarly Tribes and Tribulations: How Tradition and Technology Are Driving Disciplinary Change. Washington, DC: Association of Research Libraries, October 17. http://www.arl.org/scomm/disciplines_program.html. 332 Wendy Pradt Lougee","Book-extracted","","","",""
"URL-0428","http://www.econport.org","http://www.econport.org","www.econport.org","www.econport.org","repository / archive / digital library","1","333","348","12 - EconPort: Creating and Maintaining a Knowledge Commons","focuses on an open-access digital library of microeconomics for students, teachers, researchers, and the general public. This digital library, Econ- Port (http://www.econport.org), is a new knowledge commons. EconPort was created, beginning in 2002, by a team from the Eco- nomic Science Laboratory (http://www.econlab.arizona.edu) and the","Book-extracted","","","",""
"URL-0429","http://www.econlab.arizona.edu","http://www.econlab.arizona.edu","www.econlab.arizona.edu","www.econlab.arizona.edu","repository / archive / digital library","1","333","348","12 - EconPort: Creating and Maintaining a Knowledge Commons","Port (http://www.econport.org), is a new knowledge commons. EconPort was created, beginning in 2002, by a team from the Eco- nomic Science Laboratory (http://www.econlab.arizona.edu) and the Artificial Intelligence Lab (http://www.ailab.arizona.edu) at the Univer- sity of Arizona, under a grant from the National Science Digital Library","Book-extracted","","","",""
"URL-0430","http://www.ailab.arizona.edu","http://www.ailab.arizona.edu","www.ailab.arizona.edu","www.ailab.arizona.edu","repository / archive / digital library","1","333","348","12 - EconPort: Creating and Maintaining a Knowledge Commons","EconPort was created, beginning in 2002, by a team from the Eco- nomic Science Laboratory (http://www.econlab.arizona.edu) and the Artificial Intelligence Lab (http://www.ailab.arizona.edu) at the Univer- sity of Arizona, under a grant from the National Science Digital Library (http://www.nsdl.org) initiative of the National Science Foundation. The","Book-extracted","","","",""
"URL-0431","http://www.nsdl.org","http://www.nsdl.org","www.nsdl.org","National Science Digital Library","repository / archive / digital library","1","333","348","12 - EconPort: Creating and Maintaining a Knowledge Commons","Artificial Intelligence Lab (http://www.ailab.arizona.edu) at the Univer- sity of Arizona, under a grant from the National Science Digital Library (http://www.nsdl.org) initiative of the National Science Foundation. The goal of the project was to provide microeconomics educational resources to the public, with a particular focus on the use of microeconomics","Book-extracted","","","",""
"URL-0432","http://excen.gsu.edu","http://excen.gsu.edu","excen.gsu.edu","excen.gsu.edu","project / organization homepage","1","346","361","12 - EconPort: Creating and Maintaining a Knowledge Commons","for maintenance and development of EconPort will remain with the authors and next be housed at the new Experimental Economics Center (http://excen.gsu.edu) at AYSPS, ensuring the continuing provision of 346 James C. Cox and J. Todd Swarthout","Book-extracted","","","",""
"URL-0433","http://www.wwnorton.com/stiglitzwalsh/economics/glossary.htm","http://www.wwnorton.com/stiglitzwalsh/economics/glossary.htm","www.wwnorton.com","www.wwnorton.com","educational / reference resource","1","350","365","Glossary","Incentives Benefits, or reduced costs, that motivate a decision maker in favor of, or against, a particular choice. http://www.wwnorton.com/stiglitzwalsh/ economics/glossary.htm Institutional analysis The analysis of how institutions are formed, how they","Book-extracted","","","",""
"URL-0434","http://usinfo.state.gov/products/pubs/intelprp/Libertarian","http://usinfo.state.gov/products/pubs/intelprp/Libertarian","usinfo.state.gov","usinfo.state.gov","license / intellectual-property resource","1","350","365","Glossary","Intellectual property rights Legal rights to intangible property—patents, trade- marks, copyrights, and trade secrets. http://usinfo.state.gov/products/pubs/ intelprp/ Libertarian commons Where anyone has a right to use (and sometimes also to contribute to) some public resource.","Book-extracted","","","",""
